Id,SalePrice
1461,140000
1462,110000
1463,190000
1464,190000
1465,190000
1466,190000
1467,190000
1468,190000
1469,140000
1470,140000
1471,190000
1472,140000
1473,140000
1474,160000
1475,140000
1476,190000
1477,190000
1478,160000
1479,190000
1480,160000
1481,160000
1482,190000
1483,190000
1484,160000
1485,190000
1486,190000
1487,190000
1488,160000
1489,160000
1490,160000
1491,160000
1492,140000
1493,190000
1494,190000
1495,160000
1496,190000
1497,160000
1498,160000
1499,160000
1500,160000
1501,160000
1502,190000
1503,110000
1504,190000
1505,160000
1506,190000
1507,160000
1508,190000
1509,140000
1510,140000
1511,140000
1512,160000
1513,190000
1514,190000
1515,160000
1516,160000
1517,110000
1518,160000
1519,160000
1520,110000
1521,110000
1522,140000
1523,140000
1524,140000
1525,140000
1526,140000
1527,140000
1528,140000
1529,110000
1530,140000
1531,140000
1532,140000
1533,140000
1534,140000
1535,140000
1536,140000
1537,140000
1538,160000
1539,160000
1540,160000
1541,140000
1542,140000
1543,110000
1544,140000
1545,140000
1546,140000
1547,140000
1548,140000
1549,140000
1550,160000
1551,140000
1552,140000
1553,140000
1554,140000
1555,190000
1556,110000
1557,140000
1558,110000
1559,110000
1560,160000
1561,160000
1562,140000
1563,140000
1564,110000
1565,140000
1566,110000
1567,140000
1568,190000
1569,160000
1570,140000
1571,140000
1572,140000
1573,110000
1574,190000
1575,140000
1576,190000
1577,160000
1578,190000
1579,140000
1580,190000
1581,110000
1582,140000
1583,160000
1584,160000
1585,140000
1586,140000
1587,140000
1588,110000
1589,140000
1590,140000
1591,140000
1592,160000
1593,140000
1594,160000
1595,140000
1596,110000
1597,160000
1598,190000
1599,110000
1600,190000
1601,140000
1602,140000
1603,140000
1604,190000
1605,160000
1606,160000
1607,190000
1608,190000
1609,160000
1610,160000
1611,140000
1612,160000
1613,160000
1614,140000
1615,140000
1616,140000
1617,140000
1618,140000
1619,140000
1620,160000
1621,140000
1622,190000
1623,160000
1624,160000
1625,110000
1626,160000
1627,190000
1628,190000
1629,160000
1630,190000
1631,190000
1632,190000
1633,190000
1634,160000
1635,190000
1636,160000
1637,160000
1638,190000
1639,160000
1640,190000
1641,160000
1642,160000
1643,160000
1644,160000
1645,190000
1646,160000
1647,190000
1648,110000
1649,110000
1650,140000
1651,140000
1652,140000
1653,140000
1654,160000
1655,160000
1656,160000
1657,160000
1658,160000
1659,140000
1660,140000
1661,160000
1662,160000
1663,160000
1664,160000
1665,160000
1666,190000
1667,190000
1668,190000
1669,190000
1670,190000
1671,190000
1672,190000
1673,190000
1674,190000
1675,190000
1676,190000
1677,190000
1678,190000
1679,190000
1680,190000
1681,160000
1682,160000
1683,160000
1684,160000
1685,190000
1686,160000
1687,190000
1688,190000
1689,190000
1690,190000
1691,190000
1692,190000
1693,190000
1694,190000
1695,160000
1696,190000
1697,190000
1698,160000
1699,190000
1700,160000
1701,190000
1702,190000
1703,160000
1704,160000
1705,190000
1706,160000
1707,190000
1708,160000
1709,190000
1710,160000
1711,160000
1712,160000
1713,160000
1714,190000
1715,190000
1716,140000
1717,140000
1718,140000
1719,190000
1720,190000
1721,140000
1722,140000
1723,160000
1724,160000
1725,190000
1726,160000
1727,160000
1728,160000
1729,190000
1730,160000
1731,110000
1732,110000
1733,110000
1734,190000
1735,110000
1736,140000
1737,190000
1738,160000
1739,160000
1740,190000
1741,110000
1742,160000
1743,160000
1744,190000
1745,140000
1746,160000
1747,190000
1748,160000
1749,160000
1750,140000
1751,110000
1752,140000
1753,140000
1754,160000
1755,160000
1756,140000
1757,140000
1758,110000
1759,190000
1760,140000
1761,110000
1762,190000
1763,140000
1764,140000
1765,140000
1766,190000
1767,190000
1768,140000
1769,110000
1770,190000
1771,140000
1772,140000
1773,140000
1774,160000
1775,110000
1776,140000
1777,140000
1778,140000
1779,140000
1780,140000
1781,140000
1782,140000
1783,160000
1784,140000
1785,140000
1786,160000
1787,160000
1788,140000
1789,140000
1790,140000
1791,160000
1792,140000
1793,110000
1794,140000
1795,110000
1796,110000
1797,140000
1798,140000
1799,140000
1800,140000
1801,160000
1802,140000
1803,140000
1804,110000
1805,140000
1806,140000
1807,160000
1808,140000
1809,160000
1810,140000
1811,160000
1812,140000
1813,140000
1814,140000
1815,140000
1816,140000
1817,160000
1818,160000
1819,140000
1820,140000
1821,140000
1822,140000
1823,140000
1824,140000
1825,160000
1826,140000
1827,140000
1828,160000
1829,140000
1830,160000
1831,160000
1832,160000
1833,160000
1834,110000
1835,190000
1836,140000
1837,140000
1838,140000
1839,110000
1840,160000
1841,190000
1842,160000
1843,140000
1844,110000
1845,160000
1846,140000
1847,140000
1848,140000
1849,110000
1850,140000
1851,140000
1852,140000
1853,160000
1854,110000
1855,110000
1856,160000
1857,140000
1858,160000
1859,160000
1860,140000
1861,160000
1862,160000
1863,160000
1864,160000
1865,140000
1866,190000
1867,160000
1868,190000
1869,160000
1870,190000
1871,160000
1872,190000
1873,190000
1874,140000
1875,190000
1876,160000
1877,190000
1878,160000
1879,110000
1880,110000
1881,160000
1882,190000
1883,160000
1884,160000
1885,160000
1886,160000
1887,160000
1888,160000
1889,160000
1890,140000
1891,140000
1892,140000
